cena_m2,powierzchnia,rok_budowy,pietro,pietro_max,winda,balkon,taras,wspolrzedne_szerokosc,wspolrzedne_wysokosc,odleglosc_metro,odleglosc_centrum,agencja,spoldzielcze,remont,wykonczenie
13929.0,56.0,1976.0,3.0,11.0,0,1,0,52.24233,21.0711,2.0177623442238284,4.584028881052681,1,0,1,0
16768.0,131.2,2010.0,4.0,4.0,1,0,1,52.22826643773893,20.875047705249017,3.025912086405263,8.930334116971064,0,0,0,0
12603.0,59.51,1985.0,3.0,3.0,0,1,0,52.1399701,21.064545,0.5528812539315824,10.953831604875765,0,0,1,0
14508.0,61.0,2001.0,10.0,10.0,0,0,0,52.2674698905819,20.947487703247084,1.4686966446681902,5.629925447600707,0,0,0,1
15508.0,97.95,2023.0,2.0,7.0,1,1,0,52.24254,20.8993,1.116116434609991,7.368065685788086,1,0,0,1
15364.0,110.0,2000.0,3.0,3.0,0,1,0,52.26893435,20.934208192908,1.854695492440696,6.406385901288402,1,1,0,0
22603.0,73.0,2019.0,3.0,3.0,1,1,0,52.2147479,20.9692298,1.8569506131771296,3.1387862242113784,1,0,0,0
18333.0,90.0,2022.0,2.0,6.0,1,1,0,52.17120758290255,20.99082145071623,1.5220275618359371,6.808249437478307,0,0,0,0
19106.0,130.8,2006.0,2.0,4.0,1,1,0,52.22556,21.06146,2.630778292127845,3.835538933048327,1,0,0,0
12295.0,183.0,2001.0,0.0,3.0,1,0,0,52.17261,21.04946,2.0394400436545124,7.207824243335779,1,0,0,0
15068.0,36.5,2021.0,2.0,2.0,0,0,0,52.3264459,21.05253435,3.83229752415174,10.997537118319062,1,0,1,0
9441.0,80.5,2000.0,1.0,4.0,0,0,0,52.34782,20.95535,7.054466611848814,13.362358251829166,1,0,1,0
13725.0,40.0,2013.0,1.0,3.0,0,1,0,52.34309,21.05212,5.680978736696411,12.774107325191322,1,0,0,0
18606.0,33.0,2017.0,2.0,7.0,1,1,0,52.29332,20.92866,1.310214766698346,8.64044336049044,1,0,0,0
17993.0,27.01,1976.0,1.0,10.0,1,0,0,52.24168,21.08406,2.894297695491211,5.426385975221123,1,0,0,0
17332.0,46.1,1965.0,2.0,4.0,0,1,0,52.20009835758355,21.03395358399199,2.1417355785112835,3.997161856864533,0,0,0,0
16992.0,44.55,1951.0,0.0,3.0,0,0,0,52.23812,20.97493,0.8282128572931828,2.235527795198001,1,0,0,1
24933.0,75.0,2022.0,3.0,4.0,1,1,1,52.2463922,20.9642937,1.0378974570085675,3.2781063064555487,0,0,0,0
15572.0,59.4,2014.0,0.0,4.0,1,0,0,52.2464,20.9039,1.0468650524962555,7.144603404979784,1,0,0,0
18081.0,49.5,2007.0,9.0,16.0,1,1,0,52.2657926,21.0386686,0.4495873628018714,4.391504934948996,0,0,0,0
14906.0,53.0,1960.0,2.0,3.0,0,1,0,52.2404583,20.9682687,0.7455283929951779,2.750156307715681,0,0,0,0
16355.0,107.0,2000.0,5.0,6.0,1,1,0,52.13,21.08,1.1265123995460509,12.383674591429536,1,1,0,0
12857.0,56.0,1979.0,5.0,15.0,0,1,0,52.2764948,20.9219274,1.661538153327956,7.587934373168257,1,1,0,0
13081.0,34.4,1964.0,3.0,3.0,0,1,0,52.18961,20.89299,5.801199056923793,9.01488382743467,1,0,1,0
21999.0,32.67,1953.0,2.0,3.0,0,0,0,52.2402148,20.9975821,0.4218425312720407,1.106681632134172,1,0,0,0
14046.0,153.0,1995.0,1.0,10.0,1,0,0,52.2245451493625,21.037613639147946,1.760768934337331,2.2930358933576755,1,0,0,0
14971.0,89.44,2023.0,1.0,8.0,1,1,1,52.20516194375644,20.937032155342106,3.7305108770508193,5.552259126578076,0,0,0,1
24102.0,82.94,2022.0,1.0,3.0,1,1,1,52.12808,21.07003,0.5864470499976546,12.32228157186033,1,0,0,0
13519.0,54.0,2010.0,0.0,3.0,0,0,1,52.23599653961703,21.135138064897763,6.4289603587648685,8.803789261292511,0,0,0,0
16325.0,53.6,2015.0,0.0,3.0,1,1,0,52.1635812,20.9922671,1.804658091611289,7.634711555588996,1,0,0,0
17445.0,72.8,2008.0,4.0,5.0,1,1,0,52.25655165,20.93343149,1.836416720990169,5.662957299867943,1,0,0,0
17722.0,39.5,1959.0,2.0,3.0,0,1,0,52.2762419,20.9543689,0.6345200132789001,6.073240053041394,1,1,0,0
21407.0,135.0,2022.0,4.0,4.0,1,0,1,52.1649585,21.0733024,2.720792083850196,8.724576528814799,1,0,0,1
17174.0,46.0,2023.0,0.0,7.0,1,0,1,52.2035976,20.8815009,4.650141415027548,9.042818561718942,1,0,0,0
25187.0,32.12,2023.0,7.0,10.0,1,1,0,52.14015205303563,21.059622144980445,0.258940380829899,10.817110316303763,0,0,0,1
13449.0,53.46,2009.0,2.0,3.0,1,1,0,52.33991,20.93527,6.135153495207093,12.95781436639118,1,0,0,0
27619.0,18.1,2023.0,9.0,27.0,1,1,0,52.227189837820255,20.95608565872191,0.9676523409442748,3.440006442414975,1,0,0,0
19091.0,55.0,2018.0,7.0,14.0,1,1,1,52.221651617729,20.95469888772,1.5443690078166952,3.672404196148941,1,0,0,0
11962.0,137.94,2011.0,3.0,3.0,0,0,1,52.30841,20.99415,2.8732014882854875,8.565908701313347,1,0,0,0
18495.0,46.5,1968.0,3.0,4.0,0,1,0,52.23091222532243,21.036635407409648,1.0689943589123927,2.0849309296047585,0,1,0,0
14157.0,44.5,2002.0,5.0,8.0,1,1,0,52.347132,20.942228,6.92047407013593,13.54751699437141,0,0,0,0
21071.0,28.0,1970.0,0.0,15.0,1,0,0,52.23534,21.00532,0.1612861126597689,0.4055844994704676,1,0,0,0
15924.0,39.5,1972.0,3.0,15.0,1,0,0,52.23463,20.99846,0.3131181027132708,0.6098173076227295,1,1,0,0
10945.0,73.0,1971.0,6.0,6.0,1,1,0,52.2721734,20.9222983,1.9546668295046312,7.262063468371047,1,1,1,0
14035.0,57.0,2000.0,2.0,10.0,0,1,0,52.2746749967713,20.91162830795133,2.365643420741555,8.007783776265955,0,0,0,0
18802.0,23.88,1961.0,0.0,3.0,0,0,0,52.2413475,20.96881877,0.8512269191655069,2.7520558110491584,1,0,0,0
26574.0,47.0,2018.0,6.0,7.0,1,1,1,52.22503,20.9558,1.1780109240048509,3.502375942731772,1,0,0,0
18421.0,38.0,1965.0,6.0,7.0,1,1,0,52.264460378421134,20.965886783050525,0.8332227892804517,4.553006680705802,1,1,0,0
17483.0,102.1,2018.0,1.0,5.0,1,1,1,52.17513,20.99818,1.0003178142511853,6.31534375858544,1,0,0,0
18447.0,309.0,2012.0,8.0,8.0,1,0,1,52.19117,21.0172,1.0908002518152469,4.572512758229565,1,0,0,1
24000.0,15.0,2018.0,6.0,10.0,1,0,0,52.22581,20.94463,1.6482782915799614,4.234505480702748,1,0,0,0
15625.0,48.0,1955.0,2.0,3.0,0,0,0,52.24158,20.99121,0.7298939410282163,1.4910594728561957,1,0,0,0
13953.0,86.0,2014.0,2.0,3.0,1,0,0,52.2047364,20.9201769,3.9342148063830296,6.574623496535408,1,0,0,0
24004.0,62.28,2014.0,3.0,6.0,1,1,1,52.1721254,21.0543865,2.364704727665187,7.40022024697584,1,0,0,0
20408.0,122.5,1970.0,1.0,4.0,1,1,0,52.251564643671855,21.00289357039186,0.947513448370108,2.2170680761452224,1,0,0,0
19867.0,37.5,1970.0,2.0,10.0,1,1,0,52.231517944953,21.06862104130859,2.46804875856542,4.261381903086924,0,0,0,0
13592.0,30.9,2004.0,7.0,8.0,1,1,0,52.32022,21.03253,2.969578792762851,10.004317028061529,1,0,0,0
18534.0,36.15,1957.0,4.0,4.0,0,0,0,52.24972,21.08715,3.0638486015570843,5.87362186685006,1,0,0,0
18587.0,92.0,2023.0,4.0,4.0,1,1,0,52.24091,20.91133,0.2798568879311601,6.530550874799076,1,0,0,0
15077.0,31.77,1976.0,9.0,9.0,1,1,0,52.2690354,21.0462876,0.3322539018906652,4.971887880926649,0,0,0,0
22951.0,30.5,1955.0,5.0,6.0,1,0,0,52.23046,21.0135,0.3504104787521246,0.5263678367121388,1,0,0,0
25957.0,47.0,2000.0,1.0,7.0,1,1,1,52.19872,21.01065,0.6249414623078872,3.682796307322023,1,0,0,0
12872.0,154.6,2002.0,0.0,2.0,0,0,1,52.12749,21.09599,2.2510652791257875,13.112265978884697,1,0,0,0
17000.0,36.6,2014.0,0.0,4.0,1,1,0,52.289697,20.9306,0.948612389441274,8.24193610300743,1,0,0,0
11702.0,47.0,1970.0,8.0,10.0,1,1,0,52.23294,21.15273,7.670285829815921,9.990218033112624,1,0,0,0
21977.0,32.67,1953.0,2.0,3.0,0,0,0,52.24122,21.0003,0.2260175318200064,1.1265862837357228,1,0,0,1
22436.0,156.0,2021.0,1.0,2.0,1,1,0,52.1846304,21.04061178,2.182630451975802,5.741362371769008,1,0,0,1
26042.0,48.0,1956.0,0.0,4.0,0,0,0,52.251996853729,21.005753008649,1.0304036649649733,2.254777126576909,1,0,0,0
